date,revert,edit,commentor,title,comment,views,sentiment_score,M
2008-06-05 02:04:19,1.0,541.0,ClueBot,"Lubbock, Texas","Reverting possible vandalism by [[Special:Contributions/70.244.136.10|70.244.136.10]] to version by Wordbuilder. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot]]. (406899) (Bot)",2218158.0,0.7579,330.0
2006-01-31 00:41:51,1.0,118.0,Raul654,"Lubbock, Texas",Reverted edits by [[Special:Contributions/198.172.203.237|198.172.203.237]] ([[User talk:198.172.203.237|talk]]) to last version by Chr.K.,2218158.0,0.0,330.0
2006-02-27 22:52:00,1.0,26.0,Pgk,"Lubbock, Texas",Reverted edits by [[Special:Contributions/67.130.74.218|67.130.74.218]] ([[User talk:67.130.74.218|talk]]) to last version by 24.248.123.170,2218158.0,0.0,330.0
2009-09-20 05:37:50,1.0,153.0,ClueBot,"Bay City, Texas","Reverting possible vandalism by [[Special:Contributions/69.151.243.101|69.151.243.101]] to version by Harmelion. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (771496) (Bot)",177969.0,0.7579,4.0
2009-09-12 15:25:20,0.0,149.0,Dylandlima,"Bay City, Texas",Spelling of Matagorda County corrected,177969.0,0.0,4.0
2009-09-12 15:15:52,0.0,148.0,Dylandlima,"Bay City, Texas",That info is being shown in hopes somebody will expand Richard Knapik's page.,177969.0,0.6249,4.0
2009-09-11 22:12:30,1.0,146.0,Harmelion,"Bay City, Texas",That information is already provided.,177969.0,0.0,4.0
2009-09-07 16:57:28,0.0,146.0,Plastikspork,"Bay City, Texas",clean infobox entries after substitution,177969.0,0.4019,4.0
2009-09-07 16:35:30,0.0,145.0,Plasticspork,"Bay City, Texas",[[Wikipedia:Templates for deletion/Log/2009 August 31]] using [[Project:AutoWikiBrowser|AWB]],177969.0,0.0,4.0
2009-09-05 22:41:37,1.0,140.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 312020842 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-09-05 15:24:30,1.0,140.0,Dylandlima,"Bay City, Texas",[[WP:UNDO|Undid]] revision 310904135 by [[Special:Contributions/Harmelion|Harmelion]] ([[User talk:Harmelion|talk]]),177969.0,0.0,4.0
2009-06-29 22:58:10,1.0,127.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 298146657 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-21 02:34:21,1.0,127.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 297575322 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-18 20:51:06,1.0,127.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 297168088 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-14 23:00:45,1.0,127.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 296234901 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-10 02:40:51,1.0,127.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 295453347 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-06 19:58:38,0.0,127.0,Harmelion,"Bay City, Texas",/* Medical Community/Hospitals */,177969.0,0.0,4.0
2009-06-06 01:51:53,1.0,123.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 294639523 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-05 00:36:23,1.0,123.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 294462476 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-02 22:59:03,1.0,123.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 294037251 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-06-02 13:54:13,0.0,123.0,Txnomad,"Bay City, Texas",updated links to TSHA (tshaonline.org),177969.0,0.0,4.0
2009-06-02 02:02:01,1.0,121.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 293817030 by [[Special:Contributions/Dylandlima|Dylandlima]] ([[User talk:Dylandlima|talk]]),177969.0,0.0,4.0
2009-05-31 16:32:04,1.0,114.0,Harmelion,"Bay City, Texas",vandalism,177969.0,0.0,4.0
2009-05-30 20:36:54,1.0,114.0,Harmelion,"Bay City, Texas",[[WP:UNDO|Undid]] revision 293319914 by [[Special:Contributions/69.155.140.163|69.155.140.163]] ([[User talk:69.155.140.163|talk]]),177969.0,0.0,4.0
2009-05-25 21:36:33,1.0,114.0,Alansohn,"Bay City, Texas",Reverted edits by [[Special:Contributions/69.155.140.163|69.155.140.163]] to last revision by Until It Sleeps ([[WP:HG|HG]]),177969.0,0.0,4.0
2009-05-03 16:20:12,0.0,94.0,JNW,"Bay City, Texas",rv promotional additions,177969.0,0.0,4.0
2009-04-20 14:27:30,1.0,86.0,Frankie0607,"Bay City, Texas",Reverted edits by [[Special:Contributions/208.93.60.143|208.93.60.143]] to last revision by Frankie0607 ([[WP:HG|HG]]),177969.0,0.0,4.0
2009-04-20 14:25:21,1.0,86.0,Frankie0607,"Bay City, Texas",Reverted edits by [[Special:Contributions/208.93.60.143|208.93.60.143]] to last revision by Frankie0607 ([[WP:HG|HG]]),177969.0,0.0,4.0
2009-04-20 14:24:24,1.0,86.0,Frankie0607,"Bay City, Texas",Reverted edits by [[Special:Contributions/208.93.60.143|208.93.60.143]] to last revision by Frankie0607 ([[WP:HG|HG]]),177969.0,0.0,4.0
2009-04-20 14:23:05,1.0,86.0,Frankie0607,"Bay City, Texas",Reverted edits by [[Special:Contributions/208.93.60.143|208.93.60.143]] to last revision by ClueBot ([[WP:HG|HG]]),177969.0,0.0,4.0
2009-03-16 03:32:52,1.0,86.0,ClueBot,"Bay City, Texas","Reverting possible vandalism by [[Special:Contributions/76.91.41.82|76.91.41.82]] to version by Lightbot. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (631780) (Bot)",177969.0,0.7579,4.0
2008-12-31 03:41:32,0.0,86.0,Lightbot,"Bay City, Texas",Units/dates/other,177969.0,0.0,4.0
2008-11-04 01:26:33,0.0,84.0,Legobot,"Bay City, Texas",Robot: replacing deprecated templates  (-{{coor dms(.*?)}} +{{coord\1}}),177969.0,0.0,4.0
2008-09-21 18:43:02,0.0,83.0,Lightbot,"Bay City, Texas",Units/dates/other,177969.0,0.0,4.0
2008-09-21 18:38:54,1.0,81.0,Eeekster,"Bay City, Texas",Reverted edits by [[Special:Contributions/67.11.20.185|67.11.20.185]] ([[User talk:67.11.20.185|talk]]) to last version by Billy Hathorn,177969.0,0.0,4.0
2008-09-01 22:42:00,1.0,67.0,Ksmugg,"Bay City, Texas",Correct Bay City Fart League to Bay City Art League,177969.0,0.0,4.0
2008-08-21 15:52:28,0.0,67.0,SieBot,"Bay City, Texas","robot  Adding: [[ht:Bay City, Texas]]",177969.0,0.0,4.0
2008-08-07 17:04:19,0.0,66.0,25or6to4,"Bay City, Texas",added map,177969.0,0.0,4.0
2008-05-27 21:41:42,0.0,64.0,Iridescent,"Bay City, Texas","Cleanup/[[WP:AWB/T|typo fixing]], typos fixed: Leauge → League  using [[Project:AutoWikiBrowser|AWB]]",177969.0,0.0,4.0
2008-05-27 04:23:15,0.0,63.0,WhisperToMe,"Bay City, Texas",/* References */,177969.0,0.0,4.0
2008-05-08 19:23:31,1.0,58.0,Pseudomonas,"Bay City, Texas",Reverted edits by [[Special:Contributions/70.130.27.39|70.130.27.39]] ([[User talk:70.130.27.39|talk]]) to last version by 199.91.34.33,177969.0,0.0,4.0
2008-04-04 07:49:47,0.0,56.0,SmackBot,"Bay City, Texas",Add references section and/or general fixes.,177969.0,0.0,4.0
2008-02-29 03:46:35,0.0,48.0,Alexbot,"Bay City, Texas","robot  Removing: [[lmo:Bay City, Texas]]",177969.0,0.0,4.0
2007-12-23 02:16:53,0.0,47.0,Detroiterbot,"Bay City, Texas",Infobox adding map and/or some formatting  using [[Project:AutoWikiBrowser|AWB]],177969.0,0.0,4.0
2007-12-17 14:49:09,0.0,46.0,Nyttend,"Bay City, Texas",Spelling,177969.0,0.0,4.0
2007-12-17 14:47:08,0.0,45.0,Nyttend,"Bay City, Texas",County template,177969.0,0.0,4.0
2007-12-09 02:27:30,0.0,44.0,TheNewPhobia,"Bay City, Texas",adding Texas County Seats navbox and other minor fixes  using [[Project:AutoWikiBrowser|AWB]],177969.0,0.0,4.0
2007-11-12 16:06:23,1.0,40.0,ClueBot,"Bay City, Texas","Reverting possible vandalism by [[Special:Contributions/65.68.242.233]] to version by Rei-bot.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (68317) (Bot)",177969.0,0.128,4.0
2007-11-11 16:40:33,0.0,40.0,Rei-bot,"Bay City, Texas",robot  Adding: [[pt:Bay City (Texas)]],177969.0,0.0,4.0
2007-10-12 20:16:55,0.0,39.0,CapitalBot,"Bay City, Texas",Adding infobox  using [[Project:AutoWikiBrowser|AWB]],177969.0,0.0,4.0
2007-09-29 14:38:48,0.0,38.0,BotMultichill,"Bay City, Texas",robot  Adding: [[nl:Bay City (Texas)]],177969.0,0.0,4.0
2007-09-25 06:19:25,1.0,36.0,Daveh4h,"Bay City, Texas",[[WP:UNDO|Undid]] revision 160196054 by [[Special:Contributions/76.167.109.239|76.167.109.239]] ([[User talk:76.167.109.239|talk]]) not so famous,177969.0,0.0,4.0
2007-06-28 19:47:25,0.0,36.0,EVula,"Bay City, Texas",/* Demographics */ removing bogus statement,177969.0,0.0,4.0
2007-06-27 03:25:34,0.0,35.0,TXiKiBoT,"Bay City, Texas",robot  Modifying: [[vo:Bay City (Texas)]],177969.0,0.0,4.0
2007-06-15 19:50:17,0.0,34.0,MalafayaBot,"Bay City, Texas",robot  Adding: [[vo:Bay City]],177969.0,0.0,4.0
2007-05-10 00:44:46,0.0,33.0,TXiKiBoT,"Bay City, Texas","robot  Adding: [[lmo:Bay City, Texas]]",177969.0,0.0,4.0
2007-02-02 02:14:08,0.0,32.0,Coatesd,"Bay City, Texas",/* Demographics */,177969.0,0.0,4.0
2006-12-12 00:26:02,1.0,25.0,Husond,"Bay City, Texas",Reverted 3 edits by [[Special:Contributions/63.215.29.25|63.215.29.25]] ([[User talk:63.215.29.25|talk]]) to last revision (84574079) by Acntx using [[WP:VP2|VP2]],177969.0,0.0,4.0
2006-08-29 01:24:03,0.0,24.0,-1g,"Bay City, Texas",link to japanese,177969.0,0.0,4.0
2006-07-29 18:18:29,0.0,23.0,Edebundity,"Bay City, Texas",/* External links */,177969.0,0.0,4.0
2006-06-10 20:44:19,0.0,21.0,Quidam65,"Bay City, Texas",/* Geography */  removed vandalism,177969.0,0.0,4.0
2006-05-31 21:52:04,0.0,20.0,Wellfauqu2,"Bay City, Texas",/* Geography */,177969.0,0.0,4.0
2006-05-31 10:03:22,0.0,19.0,SmackBot,"Bay City, Texas","Simplify where possible &/or add state link, United States., map ref template, & or 00.00% .&/or other minor fixes  using [[Wikipedia:AutoWikiBrowser|AWB]]",177969.0,0.4215,4.0
2006-04-03 23:07:04,0.0,13.0,Bluebot,"Bay City, Texas",Unicodifying  using [[Wikipedia:AutoWikiBrowser|AWB]],177969.0,0.0,4.0
2006-03-18 01:22:04,0.0,12.0,SmackBot,"Bay City, Texas",clean up using [[Wikipedia:AutoWikiBrowser|AWB]],177969.0,0.4019,4.0
2006-03-17 07:38:51,0.0,11.0,YurikBot,"Bay City, Texas",robot  Adding: de,177969.0,0.0,4.0
2005-04-23 00:06:21,0.0,10.0,Mrtrey99,"Bay City, Texas",linked to Handbook of Texas,177969.0,0.0,4.0
2004-12-18 06:51:06,0.0,9.0,Rambot,"Bay City, Texas",Updated internal [[Geographic References|references]]. Added [[Template:Mapit-US-cityscale]] external links. Reorganized and cleaned up the page.,177969.0,0.0,4.0
2004-11-13 03:39:31,0.0,8.0,Rambot,"Bay City, Texas","Added [[Category:Matagorda County, Texas]]. Added links to racial definitions. Fixed poverty stat wording.",177969.0,-0.5106,4.0
2004-10-23 01:55:49,0.0,7.0,RSM,"Bay City, Texas",external link,177969.0,0.0,4.0
2004-08-18 17:07:24,0.0,5.0,KevinBot,"Bay City, Texas",KevinBot fixing of Rambot links.,177969.0,0.0,4.0
2004-08-17 05:42:50,0.0,4.0,JCarriker,"Bay City, Texas",[[Category:Cities in Texas]],177969.0,0.0,4.0
2003-06-20 02:20:07,0.0,3.0,Rambot,"Bay City, Texas",Added county seat reference and/or updated incorrect wording.,177969.0,0.0,4.0
2002-12-15 08:25:47,0.0,2.0,Rambot,"Bay City, Texas",misc updates,177969.0,0.0,4.0
2002-10-25 11:11:46,0.0,1.0,Ram-Man,"Bay City, Texas",geography and demographics,177969.0,0.0,4.0
2010-02-01 18:37:21,1.0,929.0,Lothar1976,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 341304122 by [[Special:Contributions/205.209.224.32|205.209.224.32]] ([[User talk:205.209.224.32|talk]])rv advert,2218158.0,0.0,330.0
2010-01-28 22:37:10,0.0,929.0,Bubba73,"Lubbock, Texas",/* Climate */ the reference says 3.4 inches of snow,2218158.0,0.0,330.0
2010-01-27 14:48:36,0.0,928.0,Leaflet,"Lubbock, Texas",wiki link - Yellow House Canyon,2218158.0,0.0,330.0
2010-01-16 10:13:15,0.0,927.0,Jevansen,"Lubbock, Texas","/* People and culture */linked from [[Rugby football]] to [[Rugby union]],  using [[Project:AWB|AWB]]",2218158.0,0.0,330.0
2010-01-02 12:35:24,0.0,926.0,Thijs!bot,"Lubbock, Texas","robot Adding: [[hr:Lubbock, Teksas]]",2218158.0,0.0,330.0
2009-12-12 18:43:10,0.0,924.0,OlEnglish,"Lubbock, Texas",hatnote - more likely source of confusion,2218158.0,-0.29600000000000004,330.0
2009-12-12 03:45:40,1.0,922.0,Voltin,"Lubbock, Texas",Reverted 1 edit by [[Special:Contributions/99.39.20.238|99.39.20.238]]; Unsourced claim. ([[WP:TW|TW]]),2218158.0,0.0,330.0
2009-12-06 00:31:25,0.0,922.0,Dinamik-bot,"Lubbock, Texas",robot Adding: [[ast:Lubbock]],2218158.0,0.0,330.0
2009-12-05 21:03:51,0.0,921.0,Tsm1128,"Lubbock, Texas",/* Education */ rvv,2218158.0,0.0,330.0
2009-12-03 22:02:58,0.0,919.0,Niobrara,"Lubbock, Texas","/* Mackenzie Park */ Two forks of the Brazos run past Mackenzie, but technically they're not referred to as the ""Brazos"" at that point.",2218158.0,0.0,330.0
2009-12-03 05:25:33,1.0,917.0,Wordbuilder,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 329333638 by [[Special:Contributions/55555122l|55555122l]] ([[User talk:55555122l|talk]]); needs citation,2218158.0,0.0,330.0
2009-12-02 22:59:42,0.0,918.0,55555122l,"Lubbock, Texas",/* National Register of Historic Places */,2218158.0,0.0,330.0
2009-12-02 22:56:31,0.0,917.0,55555122l,"Lubbock, Texas",/* Education */,2218158.0,0.0,330.0
2009-12-02 18:14:08,0.0,915.0,LUUSAP,"Lubbock, Texas",reciprocating distinguishing tags with the [[Lombok]] article,2218158.0,0.0,330.0
2009-12-01 14:55:07,0.0,913.0,Leaflet,"Lubbock, Texas",correct spelling,2218158.0,0.0,330.0
2009-11-20 21:33:48,1.0,908.0,Bluezy,"Lubbock, Texas",Reverted 1 edit by [[Special:Contributions/129.118.2.128|129.118.2.128]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Bluezy|Bluezy]]. ([[WP:TW|TW]]),2218158.0,0.0,330.0
2009-11-20 21:29:21,1.0,908.0,Bluezy,"Lubbock, Texas",Reverted 1 edit by [[Special:Contributions/129.118.2.128|129.118.2.128]] identified as [[WP:VAND|vandalism]] to last revision by [[User:TXiKiBoT|TXiKiBoT]]. ([[WP:TW|TW]]),2218158.0,0.0,330.0
2009-11-13 09:32:28,0.0,908.0,TXiKiBoT,"Lubbock, Texas","robot Adding: [[sw:Lubbock, Texas]]",2218158.0,0.0,330.0
2009-10-27 04:25:59,0.0,905.0,RDBury,"Lubbock, Texas",/* External links */ Dead template,2218158.0,-0.6486,330.0
2009-10-25 03:35:44,1.0,898.0,Voltin,"Lubbock, Texas",RVT edit by  [[Special:Contributions/Av3553|Av3553]] ([[User talk:Av3553|talk]]) to previous image of better quality and known copyright,2218158.0,0.4404,330.0
2009-10-20 19:47:37,1.0,898.0,Almosthonest06,"Lubbock, Texas",Rv 2 edits,2218158.0,0.0,330.0
2009-10-10 20:16:11,1.0,898.0,Voltin,"Lubbock, Texas",/* Education */ Please do not list advertisment links in the article.,2218158.0,0.3182,330.0
2009-10-08 18:09:40,0.0,896.0,Historian2010,"Lubbock, Texas",/* People and culture */,2218158.0,0.0,330.0
2009-10-07 19:03:57,0.0,895.0,SieBot,"Lubbock, Texas",robot Adding: [[kw:Rol a dhrehevyansow an uhella yn Lubbock]],2218158.0,0.0,330.0
2009-09-27 22:55:36,1.0,892.0,Almosthonest06,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 316578336 by [[Special:Contributions/131.10.254.60|131.10.254.60]] ([[User talk:131.10.254.60|talk]]),2218158.0,0.0,330.0
2009-09-24 00:40:46,1.0,892.0,Almosthonest06,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 315816169 by [[Special:Contributions/66.69.129.172|66.69.129.172]] ([[User talk:66.69.129.172|talk]]),2218158.0,0.0,330.0
2009-09-23 14:25:49,0.0,892.0,Voltin,"Lubbock, Texas",/* References */  Swtich to 2-col,2218158.0,0.0,330.0
2009-09-23 14:20:48,0.0,891.0,Voltin,"Lubbock, Texas",/* Legal battle */  Updated with TABC issuance of permits,2218158.0,-0.2732,330.0
2009-09-22 21:32:29,0.0,890.0,Wordbuilder,"Lubbock, Texas","Rm challenged, uncited section. If correct, re-add w/ sources.",2218158.0,-0.1027,330.0
2009-09-22 21:28:52,0.0,889.0,Wordbuilder,"Lubbock, Texas",/* Sports */ ce,2218158.0,0.0,330.0
2009-09-22 14:14:07,1.0,887.0,NawlinWiki,"Lubbock, Texas",[[WP:RBK|Reverted]] edits by [[Special:Contributions/Martydudeette|Martydudeette]] ([[User talk:Martydudeette|talk]]) to last version by Phantomsteve,2218158.0,0.0,330.0
2009-09-22 14:13:54,1.0,888.0,Martydudeette,"Lubbock, Texas",Made Accurate,2218158.0,0.0,330.0
2009-09-22 14:10:09,1.0,887.0,Phantomsteve,"Lubbock, Texas",Reverted edits by [[Special:Contributions/Martydudeette|Martydudeette]] to last revision by NawlinWiki ([[WP:HG|HG]]),2218158.0,0.0,330.0
2009-09-22 14:09:51,1.0,888.0,Martydudeette,"Lubbock, Texas",Made Accurate,2218158.0,0.0,330.0
2009-09-22 14:06:25,1.0,887.0,NawlinWiki,"Lubbock, Texas",[[WP:RBK|Reverted]] edits by [[Special:Contributions/Martydudeette|Martydudeette]] ([[User talk:Martydudeette|talk]]) to last version by Voltin,2218158.0,0.0,330.0
2009-09-22 14:04:29,0.0,888.0,Martydudeette,"Lubbock, Texas",Made accurate,2218158.0,0.0,330.0
2009-09-19 20:29:54,0.0,887.0,Voltin,"Lubbock, Texas",/* Legal battle */  Update with TABC plans,2218158.0,-0.2732,330.0
2009-09-18 01:34:09,1.0,884.0,Wordbuilder,"Lubbock, Texas",Rvt unexplained change,2218158.0,0.0,330.0
2009-09-03 14:33:31,0.0,883.0,Voltin,"Lubbock, Texas",/* Legal battle */  Updated with TABC decision,2218158.0,-0.2732,330.0
2009-09-02 21:35:02,1.0,880.0,Prari,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 311544808 by [[Special:Contributions/131.52.121.101|131.52.121.101]] ([[User talk:131.52.121.101|talk]]),2218158.0,0.0,330.0
2009-08-27 22:54:06,1.0,880.0,Lothar1976,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 310426710 by [[Special:Contributions/63.238.213.28|63.238.213.28]] ([[User talk:63.238.213.28|talk]]) Rv nn,2218158.0,0.0,330.0
2009-08-19 18:10:59,0.0,880.0,Voltin,"Lubbock, Texas",/* Legal battle */  Updated with current news,2218158.0,-0.2732,330.0
2009-08-17 19:53:04,0.0,879.0,Wordbuilder,"Lubbock, Texas","/* People and culture */ Added image. Marked section needing citations. If remaining uncited, it will be removed.",2218158.0,0.0,330.0
2009-08-17 19:39:26,0.0,878.0,GETONERD84,"Lubbock, Texas",/* Transportation */,2218158.0,0.0,330.0
2009-08-17 13:55:40,1.0,876.0,Wordbuilder,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 308427928 by [[Special:Contributions/98.22.23.228|98.22.23.228]] ([[User talk:98.22.23.228|talk]]). Uncited change of numbers.,2218158.0,0.0,330.0
2009-08-03 19:24:12,0.0,875.0,Wordbuilder,"Lubbock, Texas",/* National Register of Historic Places */ Rm image improperly placed left of list,2218158.0,0.0,330.0
2009-08-03 18:27:16,0.0,874.0,Raime,"Lubbock, Texas",/* Skyline */ changed image; skyline image from I-27 is already in the Transportation section,2218158.0,0.0,330.0
2009-08-03 18:21:42,0.0,873.0,Raime,"Lubbock, Texas",/* Skyline */ completed merge of content from [[List of tallest buildings in Lubbock]],2218158.0,0.0,330.0
2009-07-23 18:59:58,0.0,872.0,Tagishsimon,"Lubbock, Texas",/* National Register of Historic Places */ merge content from [[List of tallest buildings in Lubbock]],2218158.0,0.0,330.0
2009-07-22 15:52:47,0.0,871.0,Voltin,"Lubbock, Texas",/* Legalization of packaged alcohol sales */ Reworded for clarity,2218158.0,0.4019,330.0
2009-07-21 20:08:34,1.0,868.0,Wordbuilder,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 303382194 by [[Special:Contributions/75.110.191.182|75.110.191.182]] ([[User talk:75.110.191.182|talk]]). Non-notable. Should every town list every business?,2218158.0,0.0,330.0
2009-07-11 00:32:04,1.0,868.0,Almosthonest06,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 301467258 by [[Special:Contributions/70.145.222.102|70.145.222.102]] ([[User talk:70.145.222.102|talk]]) Unsourced,2218158.0,0.0,330.0
2009-07-09 18:07:03,0.0,868.0,Voltin,"Lubbock, Texas",/* Legal battle */  More updates regarding latest city council meeting,2218158.0,-0.2732,330.0
2009-07-09 17:13:35,0.0,867.0,Voltin,"Lubbock, Texas",/* Legal battle */  Updated with results of 07/08/09 city council meeting,2218158.0,-0.2732,330.0
2009-07-09 05:07:41,0.0,866.0,Voltin,"Lubbock, Texas","/* Geography */ Added convert templates, and geographic description",2218158.0,0.0,330.0
2009-07-09 04:45:58,0.0,865.0,Voltin,"Lubbock, Texas",Reorganized sections to be more consistent with other city articles.,2218158.0,0.0,330.0
2009-07-09 04:36:02,0.0,864.0,Voltin,"Lubbock, Texas",/* Geography and climate */ Moved climate to a subheader of Geography,2218158.0,0.0,330.0
2009-07-09 04:32:39,0.0,863.0,Voltin,"Lubbock, Texas",Updated Infobox,2218158.0,0.0,330.0
2009-07-09 04:19:44,0.0,862.0,Voltin,"Lubbock, Texas",/* Law and government */,2218158.0,0.0,330.0
2009-07-08 17:29:53,0.0,861.0,Voltin,"Lubbock, Texas","/* Law and government */ Wordbuilder's right, commented 2nd image out for now",2218158.0,0.0,330.0
2009-07-08 16:31:22,1.0,859.0,Wordbuilder,"Lubbock, Texas",[[WP:UNDO|Undid]] revision by [[Special:Contributions/Voltin|Voltin]] ([[User talk:Voltin|talk]]). Going right w/ the image causes text sandwiching (see [[WP:MOS]]). Might just remove 2nd courthouse.,2218158.0,0.0,330.0
2009-07-08 16:10:37,0.0,860.0,Voltin,"Lubbock, Texas",/* Law and government */  Image Cleanup,2218158.0,0.0,330.0
2009-07-07 22:57:19,0.0,859.0,Voltin,"Lubbock, Texas",/* Legal battle */  Added convert templates,2218158.0,-0.2732,330.0
2009-07-07 16:29:19,0.0,858.0,Voltin,"Lubbock, Texas",/* Legal battle */  Added units to store measurement,2218158.0,-0.2732,330.0
2009-07-07 16:25:05,0.0,857.0,Voltin,"Lubbock, Texas",/* Legal battle */  Updated to include 06/23/09 city council meeting. Changed wording,2218158.0,-0.2732,330.0
2009-07-03 15:12:37,1.0,853.0,Wordbuilder,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 300041651 by [[Special:Contributions/208.180.254.190|208.180.254.190]] ([[User talk:208.180.254.190|talk]]). Uncited / ad.,2218158.0,0.0,330.0
2009-06-28 22:26:27,1.0,853.0,Almosthonest06,"Lubbock, Texas",[[WP:UNDO|Undid]] revision 299194690 by [[Special:Contributions/Rcatholic|Rcatholic]] ([[User talk:Rcatholic|talk]]) Uncited,2218158.0,0.0,330.0
2009-06-22 09:09:44,0.0,853.0,CommonsDelinker,"Lubbock, Texas","Removing ""Michael_Crabtree_02.jpg"", it has been deleted from Commons by [[commons:User:Eusebius|Eusebius]] because: No OTRS permission since 7 June 2009.",2218158.0,-0.29600000000000004,330.0
